epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.8493,2.69776,3.8645,1.36996,0.01025,0.13677,0.04721,0.01689,2.63633,3.52557,1.3362,0.0874,0.0014,0.0014
2,11.6265,2.40194,2.29973,1.18137,0.00712,0.02353,0.0038,0.00101,3.77815,3.84522,2.3564,0.0738998,0.00289982,0.00289982
3,21.2704,2.32821,1.98073,1.15704,0,0,0,0,4.64482,inf,5.21324,0.0603989,0.00439893,0.00439893
4,26.3894,2.3277,1.86964,1.1449,0,0,0,0,3.9073,inf,3.32394,0.0468968,0.00589676,0.00589676
5,31.2553,2.28819,1.76823,1.13763,0.02736,0.0547,0.01519,0.00426,3.09309,3.65484,1.42878,0.0333928,0.00739277,0.00739277
6,36.824,2.26437,1.72312,1.1264,0.2504,0.01,0.00016,5e-05,3.46489,inf,1.89282,0.0198864,0.00888642,0.00888642
7,41.7227,2.20152,1.67026,1.10549,0.15623,0.245,0.0935,0.03849,2.44339,6.87162,1.21073,0.00997803,0.00997803,0.00997803
8,58.7328,2.21692,1.64334,1.11048,0.15694,0.25417,0.11426,0.03768,2.62603,7.815,1.19971,0.00997011,0.00997011,0.00997011
9,63.4659,2.17555,1.59493,1.10032,0.18247,0.19188,0.12807,0.04777,2.63131,4.47592,1.25072,0.00996097,0.00996097,0.00996097
10,68.434,2.17249,1.61222,1.10734,0.33422,0.314,0.28871,0.10794,2.20566,3.87968,1.10709,0.00995062,0.00995062,0.00995062
11,78.4207,2.18997,1.61707,1.09336,0.19251,0.23741,0.13971,0.04704,2.65825,9.17513,1.29028,0.00993906,0.00993906,0.00993906
12,83.4481,2.14983,1.56537,1.09613,0.21084,0.33544,0.22999,0.08004,2.44483,6.49634,1.12176,0.00992629,0.00992629,0.00992629
13,88.4203,2.11757,1.54015,1.09233,0.17241,0.44383,0.25365,0.10255,2.15396,7.0081,1.06994,0.00991232,0.00991232,0.00991232
14,93.3309,2.07969,1.51726,1.06266,0.4254,0.4083,0.39182,0.16954,2.05276,2.67319,1.05106,0.00989715,0.00989715,0.00989715
15,98.2065,2.04752,1.46811,1.0654,0.44233,0.3639,0.37849,0.17743,1.99443,1.71462,1.04419,0.00988079,0.00988079,0.00988079
16,103.079,2.03805,1.42046,1.05548,0.50061,0.35263,0.37396,0.17475,2.1485,1.98313,1.07223,0.00986323,0.00986323,0.00986323
17,113.568,2.0733,1.50104,1.05038,0.3812,0.33931,0.35039,0.15173,2.46283,1.86193,1.16439,0.00984449,0.00984449,0.00984449
