epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.0902,2.5323,2.8991,1.24619,0.08003,0.16332,0.08926,0.03512,2.531,3.57032,1.22769,0.0823,0.00196667,0.00196667
2,9.52806,2.40697,2.04679,1.19372,0.25891,0.2591,0.15411,0.0622,2.54884,11.4534,1.26965,0.0642998,0.00396642,0.00396642
3,14.0699,2.3527,1.85067,1.13116,0.19377,0.39753,0.21626,0.0904,2.3364,10.3986,1.16148,0.0462985,0.00596521,0.00596521
4,18.4485,2.29505,1.80583,1.14121,0.22509,0.28359,0.18197,0.06822,2.35276,2.62812,1.13392,0.0282956,0.00796229,0.00796229
5,22.7625,2.23573,1.74953,1.12836,0.27996,0.31458,0.22554,0.0939,2.30113,2.2038,1.12235,0.0102903,0.00995693,0.00995693
6,27.0657,2.28617,1.7611,1.15379,0.56999,0.26813,0.22136,0.09916,2.25418,2.16713,1.10185,0.00998474,0.00998474,0.00998474
7,31.3228,2.20494,1.64362,1.12002,0.61621,0.32023,0.29389,0.10323,2.34697,1.68531,1.1322,0.00997803,0.00997803,0.00997803
8,35.6647,2.26302,1.64527,1.11109,0.58997,0.40732,0.33318,0.15415,2.16368,2.18336,1.0668,0.00997011,0.00997011,0.00997011
9,40.0116,2.18105,1.6006,1.10209,0.30483,0.35482,0.30676,0.1255,2.18394,2.10404,1.0743,0.00996097,0.00996097,0.00996097
10,44.3601,2.11014,1.5756,1.08276,0.3843,0.42761,0.38214,0.18522,2.13506,1.57548,1.05932,0.00995062,0.00995062,0.00995062
11,48.6799,2.11771,1.57559,1.09508,0.39137,0.41408,0.3812,0.17279,2.10702,1.51834,1.06347,0.00993906,0.00993906,0.00993906
12,53.0158,2.14336,1.51167,1.08366,0.38252,0.3365,0.31404,0.15694,2.15263,1.62392,1.05716,0.00992629,0.00992629,0.00992629
13,57.285,2.12472,1.56419,1.08559,0.40723,0.43541,0.40209,0.191,2.1742,1.44792,1.06508,0.00991232,0.00991232,0.00991232
14,61.603,2.12174,1.5273,1.07157,0.44862,0.36631,0.37896,0.1608,2.46317,1.58044,1.12839,0.00989715,0.00989715,0.00989715
15,65.892,2.11872,1.53373,1.08524,0.43309,0.46775,0.42887,0.20386,2.06127,1.68858,1.03174,0.00988079,0.00988079,0.00988079
16,70.2172,2.08756,1.54594,1.0825,0.68973,0.43113,0.42709,0.20438,2.06401,1.40915,1.04551,0.00986323,0.00986323,0.00986323
17,74.7062,2.07076,1.48172,1.06148,0.72298,0.41358,0.40292,0.18701,2.17863,1.62064,1.07023,0.00984449,0.00984449,0.00984449
18,79.0946,2.04627,1.46485,1.06483,0.43803,0.44034,0.40276,0.1794,2.12781,1.76461,1.05841,0.00982456,0.00982456,0.00982456
19,83.6548,2.05102,1.44621,1.04836,0.42286,0.43942,0.43094,0.19958,2.12981,1.38198,1.05514,0.00980345,0.00980345,0.00980345
20,87.9758,1.9955,1.40448,1.05152,0.47489,0.41852,0.4393,0.20435,2.40522,1.45648,1.108,0.00978118,0.00978118,0.00978118
21,92.3252,2.00188,1.45353,1.05275,0.63771,0.38419,0.36931,0.18207,2.05779,1.48449,1.03693,0.00975773,0.00975773,0.00975773
22,96.6895,2.0471,1.46185,1.05411,0.44876,0.43943,0.43815,0.22383,2.03171,1.44732,1.04188,0.00973312,0.00973312,0.00973312
