epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93734,2.73012,5.00421,1.40978,7e-05,0.01667,9e-05,2e-05,2.49558,4.21928,1.05518,9.999e-05,9.999e-05,9.999e-05
2,10.7755,2.5542,4.54847,1.1863,0.25028,0.06386,0.14082,0.10508,2.85699,4.34975,1.23111,0.000209697,0.000209697,0.000209697
3,15.6316,2.5713,4.03899,1.13095,0.0663,0.08773,0.07589,0.04338,2.7651,4.30733,1.20773,0.000317937,0.000317937,0.000317937
4,19.5674,2.56096,3.51649,1.11148,0.03737,0.12705,0.07088,0.04354,2.88597,4.17228,1.13351,0.000424711,0.000424711,0.000424711
5,22.9258,2.51875,3.09439,1.11496,1,0.02359,0.10546,0.05175,2.63445,4.02722,1.11526,0.000530018,0.000530018,0.000530018
6,28.0761,2.56431,2.85715,1.10646,1,0.0271,0.11076,0.04425,2.41986,3.74923,1.09933,0.000633859,0.000633859,0.000633859
7,31.4355,2.48344,2.58526,1.11099,1,0.0284,0.1337,0.05244,2.35085,3.54141,1.05909,0.000736233,0.000736233,0.000736233
8,34.7918,2.44411,2.43182,1.1071,0.85146,0.05818,0.1558,0.06248,2.38439,3.05458,1.08949,0.000837141,0.000837141,0.000837141
9,38.1536,2.36582,2.25841,1.0981,0.88634,0.05508,0.19751,0.07305,2.45756,2.75991,1.09178,0.000936582,0.000936582,0.000936582
10,41.5085,2.47274,2.2853,1.10511,0.61378,0.18282,0.25439,0.09763,2.29657,2.27371,1.07399,0.00103456,0.00103456,0.00103456
11,44.8477,2.35456,2.12925,1.08067,0.59736,0.25667,0.29214,0.11928,2.25445,2.07542,1.06441,0.00103767,0.00103767,0.00103767
12,48.2072,2.37947,2.09764,1.09436,0.60185,0.26925,0.30653,0.11303,2.31639,1.94139,1.11186,0.00103034,0.00103034,0.00103034
13,51.5729,2.30493,2.06347,1.08245,0.52227,0.27293,0.31807,0.1191,2.24183,1.86327,1.08552,0.00102301,0.00102301,0.00102301
14,54.9641,2.25598,1.96103,1.06991,0.30087,0.37834,0.31738,0.13648,2.19487,1.70641,1.07562,0.00101568,0.00101568,0.00101568
15,58.3662,2.32189,1.95136,1.06121,0.30423,0.40515,0.32229,0.13137,2.21681,1.71575,1.0741,0.00100834,0.00100834,0.00100834
16,61.7897,2.27423,1.90463,1.04343,0.3994,0.3672,0.38347,0.14972,2.16596,1.68238,1.07372,0.00100101,0.00100101,0.00100101
